Year,Week,t,Deaths,Exposure,sn52,cs52,include,Baseline,lp,up,PopCode,Sex,Age,Date,mx_b,mx_b_u,mx_b_l,mx_d
2016,23,23,18,15314.60789765247,0.35460488704253584,-0.9350162426854147,1,19.67712349804755,12,30,GRC,b,40,2016-06-12,128.48597645822716,195.89140120654744,78.35656048261897,117.53484072392847
2016,24,24,23,15313.05991408121,0.23931566428755768,-0.970941817426052,1,19.66217410097855,11,29,GRC,b,40,2016-06-19,128.40133984520028,189.3808302371552,71.8341080209899,150.19858949843342
2016,25,25,20,15311.50672490241,0.12053668025532308,-0.992708874098054,1,19.64732019303226,11,29,GRC,b,40,2016-06-26,128.31735338677117,189.4000409041053,71.84139482569512,130.6207178649002
2016,26,26,20,15309.94784146542,-3.216285744678249e-16,-1,1,19.632571051090945,12,28,GRC,b,40,2016-07-03,128.23408188183464,182.8876250261603,78.38041072549727,130.6340178758288
2016,27,27,24,15308.382775119586,-0.12053668025532283,-0.992708874098054,0,19.617935924863545,11,29,GRC,b,40,2016-07-10,128.15158996904748,189.43869137589851,71.85605534947875,156.77684803522635
2016,28,28,30,15306.811143894292,-0.23931566428755743,-0.9709418174260521,0,19.603424174031062,11,29,GRC,b,40,2016-07-17,128.06994213063533,189.45814204788016,71.86343319057524,195.99118142884154
2016,29,29,29,15305.232992539035,-0.3546048870425356,-0.9350162426854148,0,19.589045677996502,12,29,GRC,b,40,2016-07-24,127.98920269652695,189.4776774331816,78.40455617924756,189.4776774331816
2016,30,30,26,15303.648472483346,-0.46472317204376806,-0.8854560256532101,0,19.574810425438564,12,30,GRC,b,40,2016-07-31,127.90943584881057,196.03168521507376,78.41267408602951,169.89412718639727
2016,31,31,21,15302.057735156754,-0.5680647467311556,-0.8229838658936565,0,19.56072837822736,12,28,GRC,b,40,2016-08-07,127.83070562651345,182.98192625211115,78.42082553661906,137.23644468908336
2016,32,32,15,15300.460931988786,-0.663122658240795,-0.7485107481711013,0,19.546809472191423,11,29,GRC,b,40,2016-08-14,127.75307593070457,189.53677362339775,71.89325896059916,98.03626221899884
2016,33,33,26,15298.858214408974,-0.7485107481711011,-0.6631226582407952,0,19.533063617935117,11,29,GRC,b,40,2016-08-21,127.67661052991673,189.5566296096975,71.9007905416094,169.94732309834947
2016,34,34,22,15297.24973384685,-0.8229838658936564,-0.5680647467311559,0,19.519500701706434,12,29,GRC,b,40,2016-08-28,127.60137306588773,189.5765611764467,78.4454735902538,143.81670158213197
2016,35,35,18,15295.635641731933,-0.8854560256532096,-0.4647231720437691,0,19.50613058631517,12,29,GRC,b,40,2016-09-04,127.52742705962157,189.59656649297847,78.45375165226696,117.68062747840044
2016,36,36,19,15294.016089493765,-0.9350162426854147,-0.3546048870425359,1,19.49296311210135,12,29,GRC,b,40,2016-09-11,127.45483591776822,189.6166437272259,78.46205947333486,124.23159416611352
2016,37,37,20,15292.391228561868,-0.970941817426052,-0.23931566428755774,1,19.480008097953124,12,28,GRC,b,40,2016-09-18,127.38366293931828,183.09759135447638,78.4703962947756,130.78399382462598
2016,38,38,12,15290.761210365774,-0.992708874098054,-0.12053668025532357,1,19.467275342374847,11,29,GRC,b,40,2016-09-25,127.31397132261648,189.6570066135137,71.93886457753968,78.478761357316
2016,39,39,25,15289.126186335014,-1,-1.836909530733566e-16,1,19.454774624604628,11,28.024999999999864,GRC,b,40,2016-10-02,127.24582417269046,183.300207339827,71.94655774266215,163.5149039605958
2016,40,40,25,15287.486307899111,-0.992708874098054,0.1205366802553232,1,19.442515705781247,11,29,GRC,b,40,2016-10-09,127.17928450889413,189.69763515023115,71.95427540181181,163.53244409502688
2016,41,41,16,15285.841726487604,-0.9709418174260521,0.23931566428755738,1,19.430508330160865,11,29,GRC,b,40,2016-10-16,127.1144152728685,189.7180444420554,71.96201685733135,104.6720245197547
2016,42,42,17,15284.192593530015,-0.9350162426854148,0.35460488704253557,1,19.418762226382807,12,28,GRC,b,40,2016-10-23,127.0512793368163,183.19580722800328,78.51248881200141,111.22602581700198
2016,43,43,17,15282.539060455876,-0.8854560256532101,0.464723172043768,1,19.407287108784583,11,29,GRC,b,40,2016-10-30,126.98993951209091,189.75904386881987,71.97756836403512,111.23806019896338
2016,44,44,19,15280.881278694716,-0.822983865893657,0.5680647467311548,1,19.396092678766287,11,29,GRC,b,40,2016-11-06,126.9304585581015,189.7796303177428,71.98537701707485,124.33837848403837
2016,45,45,24,15279.219399676062,-0.7485107481711011,0.6631226582407952,1,19.385188626204158,11,28,GRC,b,40,2016-11-13,126.87289919153297,183.25543516047446,71.9932066701864,157.07608728040668
2016,46,46,21,15277.55357482945,-0.6631226582407955,0.7485107481711007,0,19.374584630913443,12,29,GRC,b,40,2016-11-20,126.81732409588183,189.82096746025476,78.54660722493301,137.45656264363276
2016,47,47,21,15275.883955584402,-0.5680647467311559,0.8229838658936564,0,19.36429036415993,11,29,GRC,b,40,2016-11-27,126.76379593130471,189.84171445868097,72.00892617398243,137.4715863321483
2016,48,48,18,15274.210693370453,-0.4647231720437684,0.88545602565321,0,19.354315490221698,11,28,GRC,b,40,2016-12-04,126.71237734478912,183.3155281284223,72.01681462188019,117.84569665398577
2016,49,49,17,15272.53393961713,-0.35460488704253595,0.9350162426854147,0,19.344669667999206,11,29,GRC,b,40,2016-12-11,126.66313098063517,189.8833560603435,72.02472126426822,111.31093286295999
2016,50,50,18,15270.853845753962,-0.2393156642875578,0.970941817426052,0,19.335362552675328,10,28,GRC,b,40,2016-12-18,126.61611949125881,183.35582465014136,65.4842230893362,117.87160156080515
2016,51,51,18,15269.170563210479,-0.12053668025532363,0.992708874098054,0,19.326403797424742,11,29,GRC,b,40,2016-12-25,126.57140554831287,189.92518211743973,72.04058632040818,117.88459579703157
2016,52,52,20,15267.484243416215,6.432571489356498e-16,1,0,19.31780305517284,11,28,GRC,b,40,2017-01-01,126.52905185412743,183.39629210408006,72.04854332660288,130.99735150291434
2017,1,53,25,15265.795037800686,0.12053668025532314,0.992708874098054,0,19.309569980404422,11,29,GRC,b,40,2017-01-08,126.48912115347197,189.96717778662102,72.0565157121666,163.76480843674227
2017,2,54,19,15264.103097793437,0.23931566428755732,0.9709418174260521,0,19.30171423102263,12,30,GRC,b,40,2017-01-15,126.45167624564108,196.53955301400427,78.6158212056017,124.4750502422027
