"","Country","Year","Age","Deaths_females","Deaths_males"
"63","Austria","2020",10,19.068999,20.3260555
"64","Austria","2020",15,38.323874332,89.864714912
"65","Austria","2020",20,47.4269175,150.840918431
"66","Austria","2020",25,68.6201353,163.183056192
"67","Austria","2020",30,91.563273738,217.161697719
"68","Austria","2020",35,147.875566311,289.154367378
"69","Austria","2020",40,230.079477712,381.708400612
"70","Austria","2020",45,383.709061344,690.42649676
"71","Austria","2020",50,731.813834799,1369.92692625
"72","Austria","2020",55,1229.465574,2319.559938254
"73","Austria","2020",60,1686.344216337,3150.71275716
"74","Austria","2020",65,2204.882457446,3797.270558585
"75","Austria","2020",70,3093.021566271,4900.78650099
"76","Austria","2020",75,5048.265370656,6747.471117434
"77","Austria","2020",80,7363.018126088,7774.583075404
"78","Austria","2020",85,9149.42485704,7024.31756946
"79","Austria","2020",90,9312.04361486,4565.43563615
"80","Austria","2020",95,4831.91680387,1393.14855576
"81","Bangladesh","2020",0,176924.98111327,217038.254265829
"82","Bangladesh","2020",5,5191.465925466,5786.372160558
"83","Bangladesh","2020",10,4394.29981497,5217.502555584
"84","Bangladesh","2020",15,7594.66834925,8225.151985726
"85","Bangladesh","2020",20,6617.761359,9267.55077072
"86","Bangladesh","2020",25,7056.63951236,7450.755989574
"87","Bangladesh","2020",30,7951.535628435,9250.62982664
"88","Bangladesh","2020",35,9825.012767674,11863.731123299
"89","Bangladesh","2020",40,12537.895945465,15561.77385392
"90","Bangladesh","2020",45,15663.89324544,21163.028731011
"91","Bangladesh","2020",50,21226.43686896,32377.7448654
"92","Bangladesh","2020",55,27221.590575426,41444.36237086
"93","Bangladesh","2020",60,30691.808537616,47217.942969855
"94","Bangladesh","2020",65,28331.388710514,43379.115213478
"95","Bangladesh","2020",70,42522.899259484,59366.569170832
"96","Bangladesh","2020",75,45778.85435838,59933.775375744
"97","Bangladesh","2020",80,43447.363627995,52786.95856014
"98","Bangladesh","2020",85,31842.30057225,34239.74772608
"99","Bangladesh","2020",90,16593.572633,15116.03481828
"100","Bangladesh","2020",95,6054.4858187,4532.20799265
"101","Belgium","2020",0,783.6456,1014.92051
"102","Belgium","2020",5,22.64444,27.64464
"103","Belgium","2020",10,22.81146,38.01501
"104","Belgium","2020",15,52.96316,108.64722
"105","Belgium","2020",20,67.1874,199.27958
"106","Belgium","2020",25,96.18075,256.78902
"107","Belgium","2020",30,133.53408,288.95559
"108","Belgium","2020",35,227.5056,386.19852
"109","Belgium","2020",40,351.58075,583.66593
"110","Belgium","2020",45,595.26102,941.988
"111","Belgium","2020",50,1026.39958,1673.58338
"112","Belgium","2020",55,1627.3966,2828.00808
"113","Belgium","2020",60,2209.27664,3893.27718
"114","Belgium","2020",65,2848.6845,4870.82526
"115","Belgium","2020",70,3994.32176,6290.6688
"116","Belgium","2020",75,4948.4074,6785.47646
"117","Belgium","2020",80,8930.2016,9450.2628
"118","Belgium","2020",85,13524.06363,10360.70098
"119","Belgium","2020",90,12039.25044,6434.81457
"120","Belgium","2020",95,6085.75078,2107.02492
"121","Bolivia","2020",0,NA,NA
"122","Bolivia","2020",5,NA,NA
"123","Bolivia","2020",10,NA,NA
"124","Bolivia","2020",15,NA,NA
"125","Bolivia","2020",20,NA,NA
"126","Bolivia","2020",25,NA,NA
"127","Bolivia","2020",30,NA,NA
"128","Bolivia","2020",35,NA,NA
"129","Bolivia","2020",40,NA,NA
"130","Bolivia","2020",45,NA,NA
"131","Bolivia","2020",50,NA,NA
"132","Bolivia","2020",55,NA,NA
"133","Bolivia","2020",60,NA,NA
"134","Bolivia","2020",65,NA,NA
"135","Bolivia","2020",70,NA,NA
"136","Bolivia","2020",75,NA,NA
"137","Bolivia","2020",80,NA,NA
"138","Bolivia","2020",85,NA,NA
"139","Bolivia","2020",90,NA,NA
"140","Bolivia","2020",95,NA,NA
"141","Brazil","2020",0,84138.3193,106552.85594
"142","Brazil","2020",5,1213.28609,2090.1552
"143","Brazil","2020",10,1976.14512,2668.1851
"144","Brazil","2020",15,3584.1123,14030.627
"145","Brazil","2020",20,4910.56536,23451.0039
"146","Brazil","2020",25,5472.0835,21335.01
"147","Brazil","2020",30,7975.88739,23314.98048
"148","Brazil","2020",35,11530.37556,28445.21982
"149","Brazil","2020",40,14879.18795,31665.61008
"150","Brazil","2020",45,21024.79038,38313.3423
"151","Brazil","2020",50,28936.19565,49984.5573
"152","Brazil","2020",55,38304.93006,63181.99032
"153","Brazil","2020",60,50095.64847,74443.8024
"154","Brazil","2020",65,60311.60395,86661.12546
"155","Brazil","2020",70,68358.34005,84064.838
"156","Brazil","2020",75,74494.58872,80962.93513
"157","Brazil","2020",80,81801.977,76061.27032
"158","Brazil","2020",85,68257.62242,51619.54421
"159","Brazil","2020",90,47404.92126,28022.22405
"160","Brazil","2020",95,24017.0048,10782.41862
"161","Cameroon","2020",0,119663.542902433,144726.500443026
"162","Cameroon","2020",5,4616.352931096,5250.33470468
"163","Cameroon","2020",10,2879.740309342,3098.516930147
"164","Cameroon","2020",15,3413.278964922,4275.407744682
"165","Cameroon","2020",20,4113.313260149,5268.992320496
"166","Cameroon","2020",25,4726.14635014,5099.277624351
"167","Cameroon","2020",30,4961.454130432,5137.80102656
"168","Cameroon","2020",35,4996.776449568,5144.112424836
"169","Cameroon","2020",40,4729.58915356,4997.102207433
"170","Cameroon","2020",45,4327.824146904,4919.611424
"171","Cameroon","2020",50,4459.445249565,5315.707351728
"172","Cameroon","2020",55,4535.989672555,5338.070499306
"173","Cameroon","2020",60,5145.31479036,5862.383226575
"174","Cameroon","2020",65,6170.065653081,6492.307800264
"175","Cameroon","2020",70,6949.9284414,6598.870734566
"176","Cameroon","2020",75,6866.85411885,5939.34053868
"177","Cameroon","2020",80,5637.13807671,4211.31243858
"178","Cameroon","2020",85,2843.14329576,1828.429768
"179","Cameroon","2020",90,659.74297836,366.08482781
"180","Cameroon","2020",95,50.48825782,24.58954732
"181","Canada","2020",0,4045.353327,4970.883825
"182","Canada","2020",5,57.96144,84.98826
"183","Canada","2020",10,73.626596,110.55107
"184","Canada","2020",15,218.48355,443.534516
"185","Canada","2020",20,325.776552,819.181974
"186","Canada","2020",25,400.394588,887.916699
"187","Canada","2020",30,505.817874,893.534124
"188","Canada","2020",35,734.383008,1187.059016
"189","Canada","2020",40,1100.300376,1693.112856
"190","Canada","2020",45,1767.850447,2630.362581
"191","Canada","2020",50,2819.505495,4285.124092
"192","Canada","2020",55,4735.423044,7438.229538
"193","Canada","2020",60,6903.929338,10640.594216
"194","Canada","2020",65,9456.35565,13917.811336
