Country,Sex,Age,Deaths,baseline,excess,excess_lp,excess_up,last_week,last_date
Hungary,b,5,7,5.628874401475994,1.3711255985240054,0,7,20,2020-05-18
Hungary,b,15,22,13.61033449065661,8.38966550934339,0,22,20,2020-05-18
Hungary,b,20,21,15.916358877061935,5.083641122938065,0,17,20,2020-05-18
Hungary,b,25,61,43.96909148342676,17.030908516573245,1,53,20,2020-05-18
Hungary,b,30,55,41.90995429656463,13.090045703435369,0,41,20,2020-05-18
Hungary,b,35,138,109.82101700481842,28.17898299518158,0,89,20,2020-05-18
Hungary,b,40,63,61.64014678828919,1.35985321171081,0,23.024999999999956,20,2020-05-18
Hungary,b,45,448,359.4376182075245,88.56238179247552,2,204,20,2020-05-18
Hungary,b,50,616,524.416069589881,91.58393041011907,11,217.02499999999995,20,2020-05-18
Hungary,b,55,853,770.4960733070385,82.50392669296154,4,236.02499999999998,20,2020-05-18
Hungary,b,60,2194,1979.7401924955877,214.25980750441235,21,509.04999999999995,20,2020-05-18
Hungary,b,65,1869,1761.5070145714544,107.4929854285457,0,325.04999999999984,20,2020-05-18
Hungary,b,70,3067,2699.271683867033,367.7283161329671,92.97500000000014,707.0749999999999,20,2020-05-18
Hungary,b,75,2341,2211.1627387927438,129.8372612072563,0,384.0249999999999,20,2020-05-18
Hungary,b,80,3593,3356.7583747245217,236.24162527547844,41.975000000000136,630,20,2020-05-18
Hungary,b,85,3117,2902.921484382064,214.07851561793603,34.975000000000136,566.05,20,2020-05-18
Hungary,b,90,1499,1428.5065637993428,70.49343620065724,0,289,20,2020-05-18
Hungary,b,95,425,384.9205068930804,40.07949310691957,0,141,20,2020-05-18
Hungary,b,100,177,152.57488958910687,24.42511041089311,0,96.02499999999995,20,2020-05-18
Hungary,b,All,20651,18888.74304466779,1762.2569553322107,208.9250000000004,4617.3499999999995,20,2020-05-18
Hungary,f,0,31,19.236877303554735,11.763122696445265,0,31,20,2020-05-18
Hungary,f,15,7,3.734632397724998,3.265367602275002,0,7,20,2020-05-18
Hungary,f,20,7,3.7192384938495335,3.2807615061504665,0,7,20,2020-05-18
Hungary,f,25,14,9.164692141596175,4.835307858403826,0,14,20,2020-05-18
Hungary,f,30,24,16.316216292186,7.683783707814003,0,24,20,2020-05-18
Hungary,f,35,48,28.387396836897697,19.6126031631023,1,48,20,2020-05-18
Hungary,f,40,86,74.77202417887248,11.227975821127515,0,54,20,2020-05-18
Hungary,f,45,158,119.93535184453332,38.064648155466685,1,106.02499999999995,20,2020-05-18
Hungary,f,50,203,161.98166881306125,41.01833118693874,0,109,20,2020-05-18
Hungary,f,55,394,350.5595310367912,43.4404689632088,3.9750000000001364,163,20,2020-05-18
Hungary,f,60,925,837.6715654739745,87.32843452602546,4,289.0499999999999,20,2020-05-18
Hungary,f,65,1148,953.7029173264735,194.2970826735265,47,378.0499999999999,20,2020-05-18
Hungary,f,70,1468,1304.3672994566252,163.63270054337482,1,423.0749999999999,20,2020-05-18
Hungary,f,75,999,931.9544517622688,67.04554823773117,0,215.04999999999993,20,2020-05-18
Hungary,f,80,1982,1732.6217788904125,249.37822110958754,72,501,20,2020-05-18
Hungary,f,85,2357,2166.2230098197033,190.7769901802965,30,507.0749999999999,20,2020-05-18
Hungary,f,90,1392,1316.3234266069326,75.6765733930674,0,303.04999999999995,20,2020-05-18
Hungary,f,95,346,302.18633189320724,43.81366810679278,0,133,20,2020-05-18
Hungary,f,100,127,101.5431117334916,25.4568882665084,0,77,20,2020-05-18
Hungary,f,All,11716,10434.401522302156,1281.5984776978432,159.97500000000014,3389.3749999999995,20,2020-05-18
Hungary,m,0,58,39.4245999886943,18.575400011305703,0,49,20,2020-05-18
Hungary,m,5,5,2.63791001938746,2.36208998061254,0,5,20,2020-05-18
Hungary,m,15,19,8.629829476106345,10.370170523893655,0,19,20,2020-05-18
Hungary,m,20,22,17.318071885303613,4.681928114696385,0,22,20,2020-05-18
Hungary,m,25,39,25.462003863916827,13.537996136083171,0,34,20,2020-05-18
Hungary,m,30,38,26.72210411305269,11.27789588694731,1,33,20,2020-05-18
Hungary,m,35,64,47.59437590076606,16.405624099233936,0,46,20,2020-05-18
Hungary,m,40,21,20.20950593402792,0.79049406597208,0,10,20,2020-05-18
Hungary,m,45,276,219.77995068262942,56.22004931737059,1,140,20,2020-05-18
Hungary,m,50,371,308.3468398162059,62.65316018379411,5,150,20,2020-05-18
Hungary,m,55,663,597.3281288598582,65.67187114014175,2.9750000000001364,211,20,2020-05-18
Hungary,m,60,1041,893.9597365088837,147.04026349111626,5,312,20,2020-05-18
Hungary,m,65,1141,1094.3596062386573,46.64039376134272,0,218,20,2020-05-18
Hungary,m,70,1575,1403.7997572794536,171.2002427205464,15,400.0749999999999,20,2020-05-18
Hungary,m,75,1668,1519.2911651983811,148.7088348016189,1.9750000000001364,383,20,2020-05-18
Hungary,m,80,1842,1592.5640706350882,249.43592936491177,55.975000000000136,534,20,2020-05-18
Hungary,m,85,901,831.1352381482093,69.86476185179069,0,233.02499999999995,20,2020-05-18
Hungary,m,90,396,358.5620115388086,37.437988461191424,0,136.02499999999995,20,2020-05-18
