Country,Sex,Age,deaths,baseline,excess,excess_ll,excess_ul,last_week,last_date
ESP,m,Aggr,51481,36218.46551,15262.53449,14113.72894,16565.66541,19,5/10/2020
FIN,b,Aggr,4900,4588.364962,311.6350382,139.9961641,568.4663502,17,4/26/2020
FIN,f,Aggr,1927,1741.217651,185.7823487,88.57866356,312.3838981,17,4/26/2020
FIN,m,Aggr,2906,2652.542134,253.4578656,112.6588182,449.0312154,16,4/19/2020
GBRTENW,b,Aggr,159359,107575.7661,51783.23391,43921.40178,61144.94237,18,5/3/2020
GBRTENW,f,Aggr,77049,52763.33274,24285.66726,20202.43029,29427.38255,18,5/3/2020
GBRTENW,m,Aggr,81492,53795.04452,27696.95548,23921.67782,32050.92251,18,5/3/2020
ISL,b,Aggr,157,124.013264,32.98673604,6.535435168,83.5387341,14,4/5/2020
ISL,f,Aggr,55,39.91565847,15.08434153,0.660901348,484.5734842,15,4/12/2020
ISL,m,Aggr,92,59.31507475,32.68492525,12.39317893,67.62349069,14,4/5/2020
NLD,b,Aggr,26828,19777.99747,7050.002526,6479.793808,7686.494514,16,4/19/2020
NLD,f,Aggr,13112,10064.33781,3047.662194,2696.027787,3485.679611,16,4/19/2020
NLD,m,Aggr,13568,9545.311537,4022.688463,3610.536049,4471.689564,16,4/19/2020
NOR,b,Aggr,2708,2599.022604,108.9773964,19.70829513,265.9524688,16,4/19/2020
NOR,f,Aggr,1652,1522.877866,129.122134,57.21784546,250.5846356,17,4/26/2020
NOR,m,Aggr,1211,1073.104077,137.895923,66.76539394,216.0142071,16,4/19/2020
PRT,b,Aggr,20557,18461.17705,2095.822955,1405.808036,2889.484539,18,5/3/2020
PRT,f,Aggr,10249,9123.549494,1125.450506,726.2101037,1557.212492,18,5/3/2020
PRT,m,Aggr,9995,8964.632939,1030.367061,633.0371444,1495.543712,18,5/3/2020
SWE,b,Aggr,70144,54692.27015,15451.72985,13788.06013,17139.59927,18,5/3/2020
SWE,f,Aggr,35309,26994.36782,8314.632179,7291.656819,9375.049949,18,5/3/2020
SWE,m,Aggr,33660,26330.98959,7329.010413,6412.64776,8347.370282,18,5/3/2020
USA,b,Aggr,213280,195692.1633,17587.83673,15698.16342,19744.08518,15,4/12/2020
USA,f,Aggr,102234,93082.99043,9151.009575,8098.22427,10341.23821,16,4/19/2020
USA,m,Aggr,107092,98383.72447,8708.275529,7567.330364,9938.38501,15,4/12/2020
