"","Country","Year","Age","Female","Male","Total"
"198","Spain","2019",85,810037,553031,1363068
"199","Spain","2019",90,623153,357472,980625
"200","Spain","2019",95,379187.98,158002.08,537190.06
"201","Sweden","2019",0,56807,60032,116839
"202","Sweden","2019",5,236655,251004,487659
"203","Sweden","2019",10,300939,318534,619473
"204","Sweden","2019",15,289113,306645,595758
"205","Sweden","2019",20,265711,293802,559513
"206","Sweden","2019",25,286425,311168,597593
"207","Sweden","2019",30,360374,380948,741322
"208","Sweden","2019",35,335686,354455,690141
"209","Sweden","2019",40,312107,328012,640119
"210","Sweden","2019",45,311921,323915,635836
"211","Sweden","2019",50,324649,333690,658339
"212","Sweden","2019",55,338662,349187,687849
"213","Sweden","2019",60,296233,302734,598967
"214","Sweden","2019",65,282369,282697,565066
"215","Sweden","2019",70,277788,271523,549311
"216","Sweden","2019",75,288177,275471,563648
"217","Sweden","2019",80,209682,190937,400619
"218","Sweden","2019",85,146321,115206,261527
"219","Sweden","2019",90,99528,62775,162303
"220","Sweden","2019",95,68600,29703,98303
"221","Switzerland","2019",0,42048,44120,86168
"222","Switzerland","2019",5,171080,180632,351712
"223","Switzerland","2019",10,209297,221007,430304
"224","Switzerland","2019",15,202067,213495,415562
"225","Switzerland","2019",20,205936,219776,425712
"226","Switzerland","2019",25,234345,249100,483445
"227","Switzerland","2019",30,280334,288954,569288
"228","Switzerland","2019",35,300338,306152,606490
"229","Switzerland","2019",40,301305,307401,608706
"230","Switzerland","2019",45,290066,293717,583783
"231","Switzerland","2019",50,308700,311949,620649
"232","Switzerland","2019",55,332252,338894,671146
"233","Switzerland","2019",60,303032,307700,610732
"234","Switzerland","2019",65,252356,251173,503529
"235","Switzerland","2019",70,221435,206561,427996
"236","Switzerland","2019",75,209268,188848,398116
"237","Switzerland","2019",80,168111,139426,307537
"238","Switzerland","2019",85,128022,92810,220832
"239","Switzerland","2019",90,90198,52618,142816
"240","Switzerland","2019",95,57216.06,22788.02,80004.08
"241","Algeria","2020",0,2467456,2574062,5041518
"242","Algeria","2020",5,2269335,2366637,4635972
"243","Algeria","2020",10,1872109,1949293,3821402
"244","Algeria","2020",15,1425863,1484482,2910345
"245","Algeria","2020",20,1468812,1531025,2999837
"246","Algeria","2020",25,1761867,1812011,3573878
"247","Algeria","2020",30,1850199,1877520,3727719
"248","Algeria","2020",35,1764741,1782775,3547516
"249","Algeria","2020",40,1502809,1511220,3014029
"250","Algeria","2020",45,1220495,1214095,2434590
"251","Algeria","2020",50,1035144,1026740,2061884
"252","Algeria","2020",55,870269,867903,1738172
"253","Algeria","2020",60,684035,703307,1387342
"254","Algeria","2020",65,560160,583040,1143200
"255","Algeria","2020",70,364221,359717,723938
"256","Algeria","2020",75,272083,241813,513896
"257","Algeria","2020",80,185844,157783,343627
"258","Algeria","2020",85,90055,80994,171049
"259","Algeria","2020",90,26899,24471,51370
"260","Algeria","2020",95,4839,4920,9759
"261","Argentina","2020",0,1833225,1903426,3736651
"262","Argentina","2020",5,1820688,1889129,3709817
"263","Argentina","2020",10,1766041,1831221,3597262
"264","Argentina","2020",15,1739689,1799760,3539449
"265","Argentina","2020",20,1714597,1762738,3477335
"266","Argentina","2020",25,1745039,1775210,3520249
"267","Argentina","2020",30,1660236,1658744,3318980
"268","Argentina","2020",35,1572135,1550297,3122432
"269","Argentina","2020",40,1571745,1518156,3089901
"270","Argentina","2020",45,1359574,1278269,2637843
"271","Argentina","2020",50,1198262,1103469,2301731
"272","Argentina","2020",55,1119816,1003393,2123209
"273","Argentina","2020",60,1006668,877065,1883733
"274","Argentina","2020",65,899258,745751,1645009
"275","Argentina","2020",70,758347,578876,1337223
"276","Argentina","2020",75,577676,385738,963414
"277","Argentina","2020",80,406456,228228,634684
"278","Argentina","2020",85,251280,113405,364685
"279","Argentina","2020",90,114056,38290,152346
"280","Argentina","2020",95,31843,7981,39824
"281","Australia","2020",0,812208,857499,1669707
"282","Australia","2020",5,798241,841026,1639267
"283","Australia","2020",10,784728,825846,1610574
"284","Australia","2020",15,742431,777475,1519906
"285","Australia","2020",20,783346,811222,1594568
"286","Australia","2020",25,871181,909705,1780886
"287","Australia","2020",30,935876,939585,1875461
"288","Australia","2020",35,921292,921591,1842883
"289","Australia","2020",40,818343,810368,1628711
"290","Australia","2020",45,845813,831536,1677349
"291","Australia","2020",50,789390,768934,1558324
"292","Australia","2020",55,782011,767400,1549411
"293","Australia","2020",60,724814,693712,1418526
"294","Australia","2020",65,630854,601807,1232661
"295","Australia","2020",70,555787,527592,1083379
"296","Australia","2020",75,397186,365811,762997
"297","Australia","2020",80,281672,241273,522945
"298","Australia","2020",85,192294,136756,329050
"299","Australia","2020",90,100294,56263,156557
"300","Australia","2020",95,33495,13224,46719
"301","Austria","2020",0,217802,230364,448166
"302","Austria","2020",5,206020,219996,426016
"303","Austria","2020",10,205043,218795,423838
"304","Austria","2020",15,218866,233504,452370
"305","Austria","2020",20,245500,263261,508761
"306","Austria","2020",25,294550,312066,606616
"307","Austria","2020",30,304547,315827,620374
"308","Austria","2020",35,308423,314619,623042
"309","Austria","2020",40,281246,284438,565684
"310","Austria","2020",45,307276,305305,612581
"311","Austria","2020",50,356193,357250,713443
"312","Austria","2020",55,346719,346838,693557
"313","Austria","2020",60,297693,284670,582363
"314","Austria","2020",65,237002,213955,450957
"315","Austria","2020",70,219951,187337,407288
"316","Austria","2020",75,214616,168533,383149
"317","Austria","2020",80,153112,107116,260228
"318","Austria","2020",85,90259,52214,142473
"319","Austria","2020",90,47474,19835,67309
"320","Austria","2020",95,14417,3768,18185
"321","Bangladesh","2020",0,7007986,7320193,14328179
"322","Bangladesh","2020",5,7167474,7476957,14644431
"323","Bangladesh","2020",10,7381842,7707436,15089278
"324","Bangladesh","2020",15,7609850,7975294,15585144
"325","Bangladesh","2020",20,7496756,7742470,15239226
"326","Bangladesh","2020",25,7268120,7257687,14525807
"327","Bangladesh","2020",30,6984129,6778960,13763089
"328","Bangladesh","2020",35,6477367,6271177,12748544
"329","Bangladesh","2020",40,5671765,5553520,11225285
"330","Bangladesh","2020",45,4707604,4718381,9425985
"331","Bangladesh","2020",50,4040065,4264730,8304795
"332","Bangladesh","2020",55,3221413,3479495,6700908
"333","Bangladesh","2020",60,2128534,2371855,4500389
"334","Bangladesh","2020",65,1306839,1489609,2796448
"335","Bangladesh","2020",70,1150261,1206898,2357159
"336","Bangladesh","2020",75,883532,855121,1738653
"337","Bangladesh","2020",80,533685,487662,1021347
"338","Bangladesh","2020",85,265965,217066,483031
"339","Bangladesh","2020",90,98950,68178,167128
"340","Bangladesh","2020",95,28138,16419,44557
"341","Bolivia","2020",0,579535,605964,1185499
"342","Bolivia","2020",5,576763,602325,1179088
"343","Bolivia","2020",10,568242,592770,1161012
"344","Bolivia","2020",15,557073,579611,1136684
"345","Bolivia","2020",20,524085,541104,1065189
"346","Bolivia","2020",25,481351,492994,974345
"347","Bolivia","2020",30,432517,438428,870945
"348","Bolivia","2020",35,383096,385058,768154
"349","Bolivia","2020",40,334572,333313,667885
"350","Bolivia","2020",45,287248,283210,570458
"351","Bolivia","2020",50,243093,237469,480562
"352","Bolivia","2020",55,204984,198046,403030
"353","Bolivia","2020",60,172470,163721,336191
"354","Bolivia","2020",65,144891,134236,279127
"355","Bolivia","2020",70,118349,107091,225440
"356","Bolivia","2020",75,89556,76945,166501
"357","Bolivia","2020",80,59746,47160,106906
"358","Bolivia","2020",85,35052,24975,60027
"359","Bolivia","2020",90,16229,10304,26533
"360","Bolivia","2020",95,6158,3295,9453
"361","Brazil","2020",0,7070447,7404646,14475093
"362","Brazil","2020",5,7136977,7464840,14601817
"363","Brazil","2020",10,7319056,7623386,14942442
"364","Brazil","2020",15,7964694,8253310,16218004
"365","Brazil","2020",20,8466492,8685557,17152049
"366","Brazil","2020",25,8418590,8534004,16952594
"367","Brazil","2020",30,8576223,8571684,17147907
"368","Brazil","2020",35,8735133,8593722,17328855
"369","Brazil","2020",40,7956785,7704528,15661313
"370","Brazil","2020",45,7079054,6721639,13800693
"371","Brazil","2020",50,6651999,6170933,12822932
"372","Brazil","2020",55,6089814,5508456,11598270
"373","Brazil","2020",60,5044879,4423280,9468159
"374","Brazil","2020",65,4034221,3394482,7428703
"375","Brazil","2020",70,2957955,2351464,5309419
"376","Brazil","2020",75,2011193,1480939,3492132
"377","Brazil","2020",80,1395700,921508,2317208
"378","Brazil","2020",85,752233,423007,1175240
"379","Brazil","2020",90,349826,161001,510827
"380","Brazil","2020",95,112355,43397,155752
"381","Cameroon","2020",0,2037881,2077822,4115703
