"","Country","Year","Age","Female","Male","Total"
"210","Sweden","2017",45,318411,329405,647816
"211","Sweden","2017",50,324719,334272,658991
"212","Sweden","2017",55,327818,338866,666684
"213","Sweden","2017",60,288606,292812,581418
"214","Sweden","2017",65,281260,281162,562422
"215","Sweden","2017",70,290492,282774,573266
"216","Sweden","2017",75,275338,264573,539911
"217","Sweden","2017",80,189018,167768,356786
"218","Sweden","2017",85,140113,106917,247030
"219","Sweden","2017",90,101299,61438,162737
"220","Sweden","2017",95,68130.99,28953,97083.99
"221","Switzerland","2017",0,42131,44165,86296
"222","Switzerland","2017",5,166680,177139,343819
"223","Switzerland","2017",10,204558,215898,420456
"224","Switzerland","2017",15,196981,207439,404420
"225","Switzerland","2017",20,210497,225978,436475
"226","Switzerland","2017",25,241449,254086,495535
"227","Switzerland","2017",30,280238,288343,568581
"228","Switzerland","2017",35,294810,301290,596100
"229","Switzerland","2017",40,292197,298142,590339
"230","Switzerland","2017",45,289994,294236,584230
"231","Switzerland","2017",50,320405,324274,644679
"232","Switzerland","2017",55,329849,339192,669041
"233","Switzerland","2017",60,285698,290114,575812
"234","Switzerland","2017",65,242177,238531,480708
"235","Switzerland","2017",70,222276,208092,430368
"236","Switzerland","2017",75,202047,182193,384240
"237","Switzerland","2017",80,155874,126025,281899
"238","Switzerland","2017",85,126390,88581,214971
"239","Switzerland","2017",90,87677.08,48702.24,136379.32
"240","Switzerland","2017",95,54031.98,20908.78,74940.76
"241","Algeria","2017",0,2276948,2376868,4653816
"242","Algeria","2017",5,1876091,1954574,3830665
"243","Algeria","2017",10,1430244,1490203,2920447
"244","Algeria","2017",15,1476198,1541126,3017324
"245","Algeria","2017",20,1771707,1826115,3597822
"246","Algeria","2017",25,1861090,1892293,3753383
"247","Algeria","2017",30,1776880,1797623,3574503
"248","Algeria","2017",35,1516042,1526278,3042320
"249","Algeria","2017",40,1234867,1230214,2465081
"250","Algeria","2017",45,1051924,1046649,2098573
"251","Algeria","2017",50,890264,893482,1783746
"252","Algeria","2017",55,708044,736107,1444151
"253","Algeria","2017",60,591024,625659,1216683
"254","Algeria","2017",65,397563,402118,799681
"255","Algeria","2017",70,318195,291628,609823
"256","Algeria","2017",75,248631,217630,466261
"257","Algeria","2017",80,152345,138800,291145
"258","Algeria","2017",85,65169,57485,122654
"259","Algeria","2017",90,17233,15672,32905
"260","Algeria","2017",95,3670,3367,7037
"261","Argentina","2017",0,1822773,1891834,3714607
"262","Argentina","2017",5,1767440,1833101,3600541
"263","Argentina","2017",10,1740807,1803860,3544667
"264","Argentina","2017",15,1715767,1772868,3488635
"265","Argentina","2017",20,1746835,1787282,3534117
"266","Argentina","2017",25,1663577,1670208,3333785
"267","Argentina","2017",30,1577655,1562516,3140171
"268","Argentina","2017",35,1580666,1533678,3114344
"269","Argentina","2017",40,1372602,1297799,2670401
