"","country","sex","time","age.code","sle_un"
"375","France","male","2015-2020",70,15.63
"376","France","male","2015-2020",75,12.09
"377","France","male","2015-2020",80,8.9
"378","France","male","2015-2020",85,6.22
"379","France","male","2015-2020",90,4.21
"380","France","male","2015-2020",95,2.87
"381","Germany","male","2015-2020",0,78.67
"382","Germany","male","2015-2020",5,74
"383","Germany","male","2015-2020",10,69.02
"384","Germany","male","2015-2020",15,64.06
"385","Germany","male","2015-2020",20,59.17
"386","Germany","male","2015-2020",25,54.32
"387","Germany","male","2015-2020",30,49.46
"388","Germany","male","2015-2020",35,44.61
"389","Germany","male","2015-2020",40,39.8
"390","Germany","male","2015-2020",45,35.1
"391","Germany","male","2015-2020",50,30.57
"392","Germany","male","2015-2020",55,26.24
"393","Germany","male","2015-2020",60,22.15
"394","Germany","male","2015-2020",65,18.29
"395","Germany","male","2015-2020",70,14.68
"396","Germany","male","2015-2020",75,11.37
"397","Germany","male","2015-2020",80,8.53
"398","Germany","male","2015-2020",85,6.43
"399","Germany","male","2015-2020",90,4.72
"400","Germany","male","2015-2020",95,3.47
"401","Greece","male","2015-2020",0,79.48
"402","Greece","male","2015-2020",5,74.77
"403","Greece","male","2015-2020",10,69.8
"404","Greece","male","2015-2020",15,64.83
"405","Greece","male","2015-2020",20,59.91
"406","Greece","male","2015-2020",25,55.06
"407","Greece","male","2015-2020",30,50.22
"408","Greece","male","2015-2020",35,45.42
"409","Greece","male","2015-2020",40,40.62
"410","Greece","male","2015-2020",45,35.91
"411","Greece","male","2015-2020",50,31.4
"412","Greece","male","2015-2020",55,27.07
"413","Greece","male","2015-2020",60,23.06
"414","Greece","male","2015-2020",65,19.22
"415","Greece","male","2015-2020",70,15.61
"416","Greece","male","2015-2020",75,12.08
"417","Greece","male","2015-2020",80,9.02
"418","Greece","male","2015-2020",85,6.55
"419","Greece","male","2015-2020",90,4.86
"420","Greece","male","2015-2020",95,3.45
"421","India","male","2015-2020",0,68.11
"422","India","male","2015-2020",5,65.82
"423","India","male","2015-2020",10,61.03
"424","India","male","2015-2020",15,56.21
"425","India","male","2015-2020",20,51.45
"426","India","male","2015-2020",25,46.81
"427","India","male","2015-2020",30,42.19
"428","India","male","2015-2020",35,37.67
"429","India","male","2015-2020",40,33.28
"430","India","male","2015-2020",45,28.98
"431","India","male","2015-2020",50,24.87
"432","India","male","2015-2020",55,20.97
"433","India","male","2015-2020",60,17.43
"434","India","male","2015-2020",65,14.1
"435","India","male","2015-2020",70,11.14
"436","India","male","2015-2020",75,8.68
"437","India","male","2015-2020",80,6.63
"438","India","male","2015-2020",85,4.99
"439","India","male","2015-2020",90,3.89
"440","India","male","2015-2020",95,3.8
"441","Ireland","male","2015-2020",0,80.35
"442","Ireland","male","2015-2020",5,75.61
"443","Ireland","male","2015-2020",10,70.64
"444","Ireland","male","2015-2020",15,65.67
"445","Ireland","male","2015-2020",20,60.77
"446","Ireland","male","2015-2020",25,55.99
"447","Ireland","male","2015-2020",30,51.18
"448","Ireland","male","2015-2020",35,46.37
"449","Ireland","male","2015-2020",40,41.59
"450","Ireland","male","2015-2020",45,36.86
"451","Ireland","male","2015-2020",50,32.23
"452","Ireland","male","2015-2020",55,27.71
"453","Ireland","male","2015-2020",60,23.34
"454","Ireland","male","2015-2020",65,19.18
"455","Ireland","male","2015-2020",70,15.26
"456","Ireland","male","2015-2020",75,11.64
"457","Ireland","male","2015-2020",80,8.45
"458","Ireland","male","2015-2020",85,6
"459","Ireland","male","2015-2020",90,4.17
"460","Ireland","male","2015-2020",95,2.89
"461","Israel","male","2015-2020",0,81.04
"462","Israel","male","2015-2020",5,76.36
"463","Israel","male","2015-2020",10,71.4
"464","Israel","male","2015-2020",15,66.43
"465","Israel","male","2015-2020",20,61.54
"466","Israel","male","2015-2020",25,56.68
"467","Israel","male","2015-2020",30,51.81
"468","Israel","male","2015-2020",35,46.94
"469","Israel","male","2015-2020",40,42.1
"470","Israel","male","2015-2020",45,37.32
"471","Israel","male","2015-2020",50,32.63
"472","Israel","male","2015-2020",55,28.09
"473","Israel","male","2015-2020",60,23.73
"474","Israel","male","2015-2020",65,19.59
"475","Israel","male","2015-2020",70,15.72
"476","Israel","male","2015-2020",75,12.19
"477","Israel","male","2015-2020",80,9.12
"478","Israel","male","2015-2020",85,6.61
"479","Israel","male","2015-2020",90,4.72
"480","Israel","male","2015-2020",95,3.29
"481","Italy","male","2015-2020",0,81.04
"482","Italy","male","2015-2020",5,76.3
"483","Italy","male","2015-2020",10,71.33
"484","Italy","male","2015-2020",15,66.35
"485","Italy","male","2015-2020",20,61.44
"486","Italy","male","2015-2020",25,56.55
"487","Italy","male","2015-2020",30,51.66
"488","Italy","male","2015-2020",35,46.78
"489","Italy","male","2015-2020",40,41.92
"490","Italy","male","2015-2020",45,37.13
"491","Italy","male","2015-2020",50,32.44
"492","Italy","male","2015-2020",55,27.88
"493","Italy","male","2015-2020",60,23.48
"494","Italy","male","2015-2020",65,19.32
"495","Italy","male","2015-2020",70,15.39
"496","Italy","male","2015-2020",75,11.71
"497","Italy","male","2015-2020",80,8.46
"498","Italy","male","2015-2020",85,5.92
"499","Italy","male","2015-2020",90,4.12
"500","Italy","male","2015-2020",95,2.8
"501","Japan","male","2015-2020",0,81.28
"502","Japan","male","2015-2020",5,76.49
"503","Japan","male","2015-2020",10,71.52
"504","Japan","male","2015-2020",15,66.55
"505","Japan","male","2015-2020",20,61.64
"506","Japan","male","2015-2020",25,56.79
"507","Japan","male","2015-2020",30,51.93
"508","Japan","male","2015-2020",35,47.08
"509","Japan","male","2015-2020",40,42.26
"510","Japan","male","2015-2020",45,37.52
"511","Japan","male","2015-2020",50,32.86
"512","Japan","male","2015-2020",55,28.36
"513","Japan","male","2015-2020",60,24.01
"514","Japan","male","2015-2020",65,19.9
"515","Japan","male","2015-2020",70,16.01
"516","Japan","male","2015-2020",75,12.35
"517","Japan","male","2015-2020",80,9.1
"518","Japan","male","2015-2020",85,6.44
"519","Japan","male","2015-2020",90,4.44
"520","Japan","male","2015-2020",95,3.05
"521","Mexico","male","2015-2020",0,72.1
"522","Mexico","male","2015-2020",5,68.35
"523","Mexico","male","2015-2020",10,63.44
"524","Mexico","male","2015-2020",15,58.57
"525","Mexico","male","2015-2020",20,53.87
"526","Mexico","male","2015-2020",25,49.36
"527","Mexico","male","2015-2020",30,44.94
"528","Mexico","male","2015-2020",35,40.54
"529","Mexico","male","2015-2020",40,36.17
"530","Mexico","male","2015-2020",45,31.87
"531","Mexico","male","2015-2020",50,27.7
"532","Mexico","male","2015-2020",55,23.73
"533","Mexico","male","2015-2020",60,20
"534","Mexico","male","2015-2020",65,16.57
"535","Mexico","male","2015-2020",70,13.48
"536","Mexico","male","2015-2020",75,10.76
"537","Mexico","male","2015-2020",80,8.4
"538","Mexico","male","2015-2020",85,6.4
"539","Mexico","male","2015-2020",90,4.72
"540","Mexico","male","2015-2020",95,3.36
"541","Netherlands","male","2015-2020",0,80.32
"542","Netherlands","male","2015-2020",5,75.57
"543","Netherlands","male","2015-2020",10,70.6
"544","Netherlands","male","2015-2020",15,65.63
"545","Netherlands","male","2015-2020",20,60.71
"546","Netherlands","male","2015-2020",25,55.81
"547","Netherlands","male","2015-2020",30,50.91
"548","Netherlands","male","2015-2020",35,46.02
"549","Netherlands","male","2015-2020",40,41.16
"550","Netherlands","male","2015-2020",45,36.37
"551","Netherlands","male","2015-2020",50,31.69
"552","Netherlands","male","2015-2020",55,27.17
"553","Netherlands","male","2015-2020",60,22.85
"554","Netherlands","male","2015-2020",65,18.77
"555","Netherlands","male","2015-2020",70,14.94
"556","Netherlands","male","2015-2020",75,11.45
"557","Netherlands","male","2015-2020",80,8.4
"558","Netherlands","male","2015-2020",85,5.91
"559","Netherlands","male","2015-2020",90,4.02
"560","Netherlands","male","2015-2020",95,2.8
"561","New Zealand","male","2015-2020",0,80.3
"562","New Zealand","male","2015-2020",5,75.7
"563","New Zealand","male","2015-2020",10,70.73
"564","New Zealand","male","2015-2020",15,65.77
"565","New Zealand","male","2015-2020",20,60.98
"566","New Zealand","male","2015-2020",25,56.22
"567","New Zealand","male","2015-2020",30,51.41
"568","New Zealand","male","2015-2020",35,46.6
"569","New Zealand","male","2015-2020",40,41.81
"570","New Zealand","male","2015-2020",45,37.11
"571","New Zealand","male","2015-2020",50,32.48
"572","New Zealand","male","2015-2020",55,27.96
"573","New Zealand","male","2015-2020",60,23.6
"574","New Zealand","male","2015-2020",65,19.39
"575","New Zealand","male","2015-2020",70,15.46
"576","New Zealand","male","2015-2020",75,11.87
"577","New Zealand","male","2015-2020",80,8.67
"578","New Zealand","male","2015-2020",85,6.04
"579","New Zealand","male","2015-2020",90,4.15
"580","New Zealand","male","2015-2020",95,2.83
"581","Norway","male","2015-2020",0,80.17
"582","Norway","male","2015-2020",5,75.38
"583","Norway","male","2015-2020",10,70.41
"584","Norway","male","2015-2020",15,65.44
"585","Norway","male","2015-2020",20,60.55
"586","Norway","male","2015-2020",25,55.73
"587","Norway","male","2015-2020",30,50.91
"588","Norway","male","2015-2020",35,46.1
"589","Norway","male","2015-2020",40,41.29
"590","Norway","male","2015-2020",45,36.52
"591","Norway","male","2015-2020",50,31.83
"592","Norway","male","2015-2020",55,27.29
"593","Norway","male","2015-2020",60,22.93
"594","Norway","male","2015-2020",65,18.78
"595","Norway","male","2015-2020",70,14.92
"596","Norway","male","2015-2020",75,11.35
"597","Norway","male","2015-2020",80,8.23
"598","Norway","male","2015-2020",85,5.74
"599","Norway","male","2015-2020",90,3.82
"600","Norway","male","2015-2020",95,2.66
"601","Pakistan","male","2015-2020",0,66.11
"602","Pakistan","male","2015-2020",5,66.67
"603","Pakistan","male","2015-2020",10,62
"604","Pakistan","male","2015-2020",15,57.22
"605","Pakistan","male","2015-2020",20,52.49
"606","Pakistan","male","2015-2020",25,47.8
"607","Pakistan","male","2015-2020",30,43.16
"608","Pakistan","male","2015-2020",35,38.57
"609","Pakistan","male","2015-2020",40,34.04
"610","Pakistan","male","2015-2020",45,29.63
"611","Pakistan","male","2015-2020",50,25.37
"612","Pakistan","male","2015-2020",55,21.31
"613","Pakistan","male","2015-2020",60,17.51
"614","Pakistan","male","2015-2020",65,14.05
"615","Pakistan","male","2015-2020",70,10.96
"616","Pakistan","male","2015-2020",75,8.31
"617","Pakistan","male","2015-2020",80,6.11
"618","Pakistan","male","2015-2020",85,4.37
"619","Pakistan","male","2015-2020",90,3.13
"620","Pakistan","male","2015-2020",95,2.31
"621","Panama","male","2015-2020",0,75.13
"622","Panama","male","2015-2020",5,71.72
"623","Panama","male","2015-2020",10,66.85
"624","Panama","male","2015-2020",15,62
"625","Panama","male","2015-2020",20,57.44
"626","Panama","male","2015-2020",25,53.17
"627","Panama","male","2015-2020",30,48.91
"628","Panama","male","2015-2020",35,44.53
"629","Panama","male","2015-2020",40,40.05
"630","Panama","male","2015-2020",45,35.59
"631","Panama","male","2015-2020",50,31.23
"632","Panama","male","2015-2020",55,27.02
"633","Panama","male","2015-2020",60,23.04
"634","Panama","male","2015-2020",65,19.32
"635","Panama","male","2015-2020",70,15.91
"636","Panama","male","2015-2020",75,12.86
"637","Panama","male","2015-2020",80,10.19
"638","Panama","male","2015-2020",85,7.91
"639","Panama","male","2015-2020",90,6.03
"640","Panama","male","2015-2020",95,4.51
"641","Peru","male","2015-2020",0,73.71
"642","Peru","male","2015-2020",5,70.03
