"","country","sex","time","age.code","sle_un"
"625","Panama","female","2015-2020",20,63.19
"626","Panama","female","2015-2020",25,58.4
"627","Panama","female","2015-2020",30,53.64
"628","Panama","female","2015-2020",35,48.9
"629","Panama","female","2015-2020",40,44.2
"630","Panama","female","2015-2020",45,39.55
"631","Panama","female","2015-2020",50,34.96
"632","Panama","female","2015-2020",55,30.48
"633","Panama","female","2015-2020",60,26.14
"634","Panama","female","2015-2020",65,22.01
"635","Panama","female","2015-2020",70,18.15
"636","Panama","female","2015-2020",75,14.61
"637","Panama","female","2015-2020",80,11.47
"638","Panama","female","2015-2020",85,8.76
"639","Panama","female","2015-2020",90,6.51
"640","Panama","female","2015-2020",95,4.72
"641","Peru","female","2015-2020",0,79.18
"642","Peru","female","2015-2020",5,75.35
"643","Peru","female","2015-2020",10,70.49
"644","Peru","female","2015-2020",15,65.59
"645","Peru","female","2015-2020",20,60.74
"646","Peru","female","2015-2020",25,55.93
